Implementation,Platform,Architecture,Filename,Samples,Bounces,Rays,Triangles,Spheres,Scene Loading(ms),Encoding(ms),Raytracing(ms),Total Duration (ms)Git Hash
MetalRayTracer,Darwin,arm64,scene/scene_simple_dragon.json,4,3,11059200,381471,2,0,4002,32767,19140,f19a22d3b8e3a493516210c1d2335fe62edd30d4
MetalRayTracer,Darwin,arm64,scene/scene_simple_dragon.json,4,3,11059200,381471,2,0,4737,35652,20960,f19a22d3b8e3a493516210c1d2335fe62edd30d4
MetalRayTracer,Darwin,arm64,scene/scene_simple_dragon.json,4,3,11059200,381471,2,0,4611,123838,65079,2558f868bbee8e7013be01615eb3882f2c4fff10
MetalRayTracer,Darwin,arm64,scene/scene_simple_dragon.json,4,3,11059200,381471,2,0,4142,33437,19548,f19a22d3b8e3a493516210c1d2335fe62edd30d4
MetalRayTracer,Darwin,arm64,scene/scene_simple_dragon.json,4,3,11059200,381471,2,0,4161,32925,19314,f19a22d3b8e3a493516210c1d2335fe62edd30d4
MetalRayTracer,Darwin,arm64,scene/scene_simple_dragon.json,4,3,11059200,381471,2,0,3960,32555,19010,f19a22d3b8e3a493516210c1d2335fe62edd30d4
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,4,3,11059200,23,2,0,3991,5605,5540,f19a22d3b8e3a493516210c1d2335fe62edd30d4
MetalRayTracer,Darwin,arm64,scene/scene_simple_dragon.json,4,3,11059200,381471,2,0,3966,33465,19478,f19a22d3b8e3a493516210c1d2335fe62edd30d4
MetalRayTracer,Darwin,arm64,scene/scene_simple_dragon.json,4,3,11059200,381471,2,0,4083,34329,19971,2558f868bbee8e7013be01615eb3882f2c4fff10
MetalRayTracer,Darwin,arm64,scene/scene_simple_dragon.json,4,3,11059200,381471,2,0,29745,31699,31467,2558f868bbee8e7013be01615eb3882f2c4fff10
MetalRayTracer,Darwin,arm64,scene/scene_simple_dragon.json,4,3,11059200,381471,2,0,15259,17132,17004,2558f868bbee8e7013be01615eb3882f2c4fff10
MetalRayTracer,Darwin,arm64,scene/scene_simple_atmosphere.json,4,3,11059200,971,2,0,209719,211698,211432,2558f868bbee8e7013be01615eb3882f2c4fff10
MetalRayTracer,Darwin,arm64,scene/scene_simple_atmosphere.json,4,3,11059200,971,2,0,4014,5809,5699,2558f868bbee8e7013be01615eb3882f2c4fff10
MetalRayTracer,Darwin,arm64,scene/scene_simple_atmosphere.json,4,3,11059200,971,2,0,3930,5609,5507,2558f868bbee8e7013be01615eb3882f2c4fff10
MetalRayTracer,Darwin,arm64,scene/scene_simple_atmosphere.json,4,3,11059200,971,2,0,3909,6355,5876,2558f868bbee8e7013be01615eb3882f2c4fff10
MetalRayTracer,Darwin,arm64,scene/scene_simple_atmosphere.json,4,3,11059200,971,2,0,3995,5812,5672,2558f868bbee8e7013be01615eb3882f2c4fff10
MetalRayTracer,Darwin,arm64,scene/scene_simple_atmosphere.json,4,3,11059200,971,2,0,3844,5514,5417,2558f868bbee8e7013be01615eb3882f2c4fff10
MetalRayTracer,Darwin,arm64,scene/scene_simple_atmosphere.json,4,3,11059200,971,2,0,3868,5652,5505,2558f868bbee8e7013be01615eb3882f2c4fff10
MetalRayTracer,Darwin,arm64,scene/scene_simple_atmosphere.json,4,3,11059200,971,2,0,3921,5745,5618,2558f868bbee8e7013be01615eb3882f2c4fff10
MetalRayTracer,Darwin,arm64,scene/scene_simple_atmosphere.json,4,3,11059200,971,2,0,4011,5754,5649,2558f868bbee8e7013be01615eb3882f2c4fff10
MetalRayTracer,Darwin,arm64,scene/scene_simple_atmosphere.json,4,3,11059200,971,2,0,398474,400460,400281,2558f868bbee8e7013be01615eb3882f2c4fff10
MetalRayTracer,Darwin,arm64,scene/scene_simple_atmosphere.json,4,3,11059200,971,2,0,3908,5714,5557,2558f868bbee8e7013be01615eb3882f2c4fff10
