Implementation,Platform,Architecture,Filename,Samples,Bounces,Rays,Width,Height,Triangles,Spheres,Scene Loading(ms),Encoding(ms),Raytracing(ms),Decoding(ms),Total Duration (ms),Git Hash
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,1,1,480000,800,600,11,2,0,150,367,101,623,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,1,1,480000,800,600,11,2,0,167,3,0,212,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,1,1,480000,800,600,11,2,0,149,49,99,301,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,1,2,480000,800,600,11,2,0,147,445,99,697,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,1,2,480000,800,600,11,2,0,164,5,0,209,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,1,2,480000,800,600,11,2,0,145,56,99,305,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,1,4,480000,800,600,11,2,0,147,444,103,699,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,1,4,480000,800,600,11,2,0,165,5,0,210,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,1,4,480000,800,600,11,2,0,146,55,101,307,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,1,6,480000,800,600,11,2,0,147,440,100,694,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,1,6,480000,800,600,11,2,0,164,5,0,209,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,1,6,480000,800,600,11,2,0,146,54,101,307,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,2,1,960000,800,600,11,2,0,293,739,182,1225,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,2,1,960000,800,600,11,2,0,345,17,0,419,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,2,1,960000,800,600,11,2,0,309,101,178,599,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,2,2,960000,800,600,11,2,0,305,918,169,1402,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,2,2,960000,800,600,11,2,0,333,5,0,392,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,2,2,960000,800,600,11,2,0,298,108,173,588,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,2,4,960000,800,600,11,2,0,298,888,169,1365,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,2,4,960000,800,600,11,2,0,327,5,0,387,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,2,4,960000,800,600,11,2,0,296,111,183,599,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,2,6,960000,800,600,11,2,0,315,896,175,1396,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,2,6,960000,800,600,11,2,0,337,17,0,410,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,2,6,960000,800,600,11,2,0,301,113,172,596,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,4,1,1920000,800,600,11,2,0,591,1482,272,2363,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,4,1,1920000,800,600,11,2,0,672,17,0,779,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,4,1,1920000,800,600,11,2,0,594,181,281,1076,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,4,2,1920000,800,600,11,2,0,598,1784,276,2676,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,4,2,1920000,800,600,11,2,0,674,23,0,790,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,4,2,1920000,800,600,11,2,0,598,208,278,1103,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,4,4,1920000,800,600,11,2,0,597,1782,276,2674,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,4,4,1920000,800,600,11,2,0,669,7,0,760,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,4,4,1920000,800,600,11,2,0,595,207,279,1100,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,4,6,1920000,800,600,11,2,0,599,1784,276,2678,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,4,6,1920000,800,600,11,2,0,669,7,0,763,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,4,6,1920000,800,600,11,2,0,602,209,289,1118,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,6,1,2880000,800,600,11,2,0,897,2246,401,3572,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,6,1,2880000,800,600,11,2,0,1035,40,0,1198,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,6,1,2880000,800,600,11,2,0,896,274,409,1605,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,6,2,2880000,800,600,11,2,0,906,2693,402,4028,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,6,2,2880000,800,600,11,2,0,1016,8,0,1138,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,6,2,2880000,800,600,11,2,0,893,311,411,1642,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,6,4,2880000,800,600,11,2,0,893,2704,404,4029,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,6,4,2880000,800,600,11,2,0,1007,17,0,1140,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,6,4,2880000,800,600,11,2,0,894,313,407,1642,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_simple.json,6,6,2880000,800,600,11,2,0,912,2682,401,4023,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_simple.json,6,6,2880000,800,600,11,2,0,1005,14,0,1135,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_simple.json,6,6,2880000,800,600,11,2,0,901,314,407,1650,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
SequentialRayTracer,Darwin,arm64,scene/scene_atmosphere.json,1,1,480000,800,600,959,2,0,152,61437,130,61732,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
MetalRayTracer,Darwin,arm64,scene/scene_atmosphere.json,1,1,480000,800,600,959,2,0,168,25,0,234,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
OpenMPRayTracer,Darwin,arm64,scene/scene_atmosphere.json,1,1,480000,800,600,959,2,0,154,5274,137,5578,ca8b274665a3f1680d791ba54f78b1cc79e57cc8
